Comment,Designator,Footprint,LCSC Part Number
Battery,BT1,Battery:BatteryHolder_Keystone_1042_1x18650,
Buzzer,BZ1,Buzzer_Beeper:PUIAudio_SMT_0825_S_4_R,
SSD1306,Brd1,WMS_components:128x64OLED_v2,
LED,"D1,D2",LED_THT:LED_D3.0mm,
MountingHole,"H1,H2,H3,H4",MountingHole:MountingHole_2.2mm_M2,
Conn_01x40_Socket,"J1,J2",Connector_PinHeader_2.54mm:PinHeader_1x40_P2.54mm_Vertical,
Conn_01x03_Socket,J3,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,
150,"R1,R2",Resistor_SMD:R_0805_2012Metric,
10k,"R3,R4,R5",Resistor_SMD:R_0805_2012Metric,
SW_Push_Open,SW1,Button_Switch_THT:SW_PUSH-12mm,
SW_Push_Open,"SW2,SW3",Button_Switch_THT:SW_PUSH_6mm_H9.5mm,
SW_SPDT,SW4,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,
SW_Push_DPDT,SW5,Button_Switch_THT:SW_CuK_JS202011AQN_DPDT_Angled,
TE_2-1734839-0_1x20-1MP_P0.5mm,U1,WMS_components:YR903_RFID_Scanner_FPC,C2797211
TP4056,U2,WMS_components:TP4056-18650_v2,
MT3068,U3,WMS_components:MT3608_module_v2,
JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,U4,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
Quad SPI Flash microSD,U5,WMS_components:Quad_SPI_flash_microSD_v2,
CY8CPROTO-062-4343W_v3,U6,WMS_components:CY8CPROTO-062-4343W_v3,
