Comment,Designator,Footprint,LCSC
Battery,BT1,Battery:BatteryHolder_Keystone_1042_1x18650,
Buzzer,BZ1,Buzzer_Beeper:Buzzer_12x9.5RM7.6,
SSD1306,Brd1,WMS_components:128x64OLED,
LED,"D1,D2",LED_THT:LED_D3.0mm,
MountingHole,"H1,H2,H3,H4",MountingHole:MountingHole_2.2mm_M2,
Conn_01x40_Socket,"J1,J2",Connector_PinHeader_2.54mm:PinHeader_1x40_P2.54mm_Vertical,
Conn_01x03_Socket,J3,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,
82,R1,Resistor_SMD:R_0805_2012Metric,
120,R2,Resistor_SMD:R_0805_2012Metric,
10k,"R3,R4,R5",Resistor_SMD:R_0805_2012Metric,
SW_Push_Open,"SW1,SW2,SW3",Button_Switch_THT:SW_PUSH-12mm,
SW_SPDT,SW4,WMS_components:SPDT,
SW_Push_DPDT,SW5,WMS_components:DPDT,
SW_Push_Open,SW6,Button_Switch_THT:SW_PUSH_6mm_H9.5mm,
~,U1,WMS_components:YR903_RFID_Scanner_FPC_v2,
~,U2,WMS_components:TP4056-18650_v2,
~,U3,WMS_components:MT3608_module_v2,
~,U4,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,
~,U5,WMS_components:Quad_SPI_flash_microSD_v2,
~,U6,WMS_components:CY8CPROTO-062-4343W_v3,
~,U7,WMS_components:CY8CPROTO-062-4343W_v3,
